,text
3029,Good product 👍🏻
3030,It stop working after 6months ..right side of airdopes doesn't work ..waste of money
3031,I like this product
3032,Good sound effect...Best battery...But not worth for calls.opposite person not able to hear our voice clearly.This is the only drawback..
3033,"                    The media could not be loaded.
                



 The product quality is not good , it fall from our ear , after wearing it in each 5 min we have to fit it, after falling from our height also it open , touch sensor is not there , mechanical switch is there,  should in this price range boat can't offer us a good earbuds ??"
3034,When I brought 1st product it was very nice... afterwards I lost it..then I buy another one this product not even started...2 Amazon give me replace... thank you Amazon for replacement...now one more time this product is not working..only for 10 minutes..reason after charging battery show in second like 100 to 0 in case...and buds not charging.. showing 10 percent in phone and automatically switch off...now I don't feel like buying this product one more time....but those who want small size bud its perfect for them
3035,Excellent
3036,I got the parcel today which was ordered yesterday the external package was excellent  but when i opened the package there was everything fine with what are all the accessories mentioned on the box.  but the product must be a used one because small pack which consists of usb charging cable is already opened one (repacked) image attached and another thing i need to mention here is the lid of charging case is looseThere was no protection insulation between the terminals  and charging case points (usually will be there in new piece)Sound quality is decent and bass is not mild.Battery backup its too early to judgeThinking of claiming for replacement
3037,Nice product
3038,"I would suggest to ""boat"" please do some work on ""quality check"" before launching a product in market. Because it's ruins the name of company.So it has been 2 months I have been used these airpodes which I purchased by seeing the name of ""boat"". Below is the major ""cons"" 1- Sometimes Mike does work some times it doesn't work when you are on a phone call.2-Some time the charging showing display works sometimes not. When you opened the case3-When you listen audio more than 15 minutes it started giving disconnecting for some milliseconds and it continues.""Pros""1- Sound quality is good as per the price2- Well fitted in ears.3- Battery life is good."
3039,Pros.Sound Is Very goodBass is very goodBattery Backup is Around 5 hours When buds Charged full Without Charging Buds. And Box can charge buds 2.5 times when it's fully charged. and Box take Something 1.5 hours to 2 hours 0 to 100 and buds take somthing 30 minits to full chargeIf you Want to use only for songs and movies than this is best.Cons.But noise cancelation is worst. Do Not Use For Calling.Some Times Facing  Connection Interruption and poor connectivity problem as wellIt Doesn't support in some device.
3040,Long lasting backup
3041,Wow! a underfull product by BOAT I really liked it. The bass is not too good and no too veek. But the thing I really like it for its cool design and audio effect. It has a beet of noise cancelation give a very good feed back. Thank you for that product.
3042,"It's good only to hear songs (purpose I bought this)but when you talk, there are lot of grains I could hear. No good for calls, worth money for just listening songs."
3043,A little too much of bass. Drowns the sound of the mids and highs. Tweek the EQ to get better results
3044,This stopped working on 4th day of purchase. Showing 96%charging but in AirPods it says battery low. Don’t buy ever. Worst experience for a commuter.
3045,The battery lasts many days when used a few hours a day and the sound quality is also good.
3046,Sound and build quality is fine in this price segment..But the problem is you have push it a bit deep in the ear for good grip and bass and when you use it's button for anything it hurts so I'll just recommend to buy touch ones
3047,Within 3 months of purchase one side of earpiece became non functional.
3048,
3049,Bass quality not good
3050,Everything is ok as per priceBut calling voice -2/5  Noise cancellation- 3/5  Left ear plug is lose to fit
3051,Bad charging condition
3052,Good quality ear buds
3053,This is a good product.  The sound quality is also beautiful and delivers what has been said.
3054,Nice
3055,"Over all its a good product in this range, if you want to buy this product for calling or online event, I don't recommend but if you buy for music, it's marvellous.Sound quality is fantastic, noise cancellation is good and the bass quality is good too."
3056,Buttons are poor
3057,Good Sood bass very good
3058,"Waste of money, I have purchased it 5 months ago and since last 1 month it's not taking charging. There are 1 year warranty but amazon not providing any service regarding this."
3059,Ok in the price range
3060,Sound quality is awefull
3061,like
3062,Good quality product
3063,"                    The media could not be loaded.
                



 Bought for my brother and he loved it... Sound and base quality is awesome.. happy with it.. thanku Amazon.."
3064,"Mic quality not so good, otherwise great"
3065,"The right ear pod came right off, chips and all, very first time I wanted to put in my ear. Boat should check the quality of their products!! Waiting for a replacementEdit: replacement received. Working ok. Upgrading to 4 star"
3066,A wonderful product thanks to #BOAT
3067,"I m using those Earphones from a week now and they are Really Good when it comes to Sound and connectivity..i dont have any issues and the battery life is about 3 hours for continous use..The Range within we can use the earphones is about 5 meters which is sufficient enough as this is not an FM transmitter its only a BT earphones...Also the voice quality whem making calls is Crystal clear you can switch to mono nd stereo..The only thing it lags is the quality of the usb cable and the button on each headphone is very sensitive to touch it click even during wearing them in ears also the quality of earphones is not too good well this is not ""Jabra"" ir ""apple airdrops"" cant complaint too much..if you are a regular rider nd need an airphone becoz you boss always complaints  that you dont pick the phone coz you you riding then this product is for you.."
3068,"                    The media could not be loaded.
                



 I’m writing review after 5 months of use.. it’s really good and pairs up so quick with mobiles, Smart TV. I’m using it pretty daily and the charge is really good. Noise cancellation is good too! No disturbances from the atmosphere after listening using the AirPods. Very compact and has a magnetic attachment to the case. Charging can be done very quickly and stays for a very longer period.Please go for it.. worth every penny! 👍🏻👍🏻Fixes rightly to ears and there’s one additional buds provided"
3069,"Quality is awesome but it doesn't have sensor, i want sensor, otherwise its good ❤️🥰"
3070,It's feel lose in ear it can fall but it has batter bass and batter sound quality too...
3071,Nice
3072,Nice
3073,This is my second review for the same product but the problem is same. My voice is not clear to other person on call.Don't buy if u want to use it for call conversation.It is good for listening music..
3074,There's a lot of zrrrrr noise whenever we pause audio
3075,Amazon sell was to provide the consumers defective productive by sellers looks like this is so disappointing that product stopped working within a week lf purchase .
3076,In this price; its best. Sound quality is excellant and backup is also excellant.
3077,Best for iphone
3078,Except bass quality every thing is good
3079,"Good product,Bess quality is too good 👍I'm happy 😊"
3080,One side of this Airdope stop working within six months of purchase. I didn't expected such quality from boAT & Amazon
3081,Sound quality was so good but for its seems uncomfortable sometimes i used to fear and cautious when I go out with this earpods.. It doesn't fix well into the ears. Overall better.
3082,"The product was very good, till the time one airdope stopped functioning. Followed the instructions of resetting as per the manual but no change. Tried calling the service centre number ...no response. Have also written an email to them but no response...after sale service is very very poor...."
3083,Like not much
3084,"                    The media could not be loaded.
                



 Worse experience not working one dope,and also poor quality poor material waste of money.they given 1 year warranty card but the contact number given in that is not valid.Best to buy stores not in online"
3085,Sound is not up to mark and ear fit is not good or comfortable
3086,Look sound also good
3087,Good product
3088,Good product but mic not upto quality as other person not able to clearly hear me .
3089,This was very unexpected for coz i thought in 999 boat wait not possible but damn the quality is best and the bass they have just nailed it and the color gives me aesthetic vibe it's real price is 2999 and i honestly got a huge discount if ur a music lover uh must buy🌼✨
3090,Good but...No more
3091,"I supported boat as it is a indian product but it did not reached my expectation , it stopped working after 5 months but from 1st month onwords it is not working properly later after 5 months it stopped working completely"
3092,I am satisfied with the product worth the money
3093,I'd say they're pretty average. And also falls sometimes not very stable as compared to other earphones
3094,Good 🙂
3095,I think good 👍 product
3096,Good
3097,"It's totally useless from my side I had purchase it June month but it creates problems after 3 months,I had register Complain but it's action is also slow after Complain."
3098,Right bud can't charge after use of six month
3099,nice products & good quality
3100,Automatic audio off or on
3101,"                    The media could not be loaded.
                



 I didn't expected product like this when I talk on the call, I can't hear the Orginal sound.Please give money back or else give upgrade version I will pay extra ."
3102,Noise cancellation improvement
3103,"My ears have started hurting after usage for 4-5 days, and the mic does not work at all"
3104,Got it under 1000. Build quality and battery are average. Sound quality is good.
3105,"To start off, for the price the boat earbuds hasn't disappointed. The sound and bass is terrific. Compact design and the battery life is worth mentioning about. But all said, Bluetooth connectivity is not as strong as the description say. Manual connection of the left and the right ear bud respectively to be done when connecting the device to your phone. It sure does fit in the ear when you not moving much, but it tends to fall out while you out for a run or when you at the gym.Overall, a good pocket-friendly set of earbuds if you haven't had one before, but it sure is a hassle when you have to fix them to stay in your ear during your work outs or a jog as mentioned earlier. Also if you ride a motorcycle, it surely does not fit inside the helmet. Hence, weigh other alternatives before jumping to buy these just for the price.. Cheers!"
3106,I like this product. Very useful product in affordable price. Nice sound with good bass
3107,Nice
3108,I used this product for three months good quality and good sounds.. But mic is not so clear it have some problems.. Not much that bass i expect
3109,Good
3110,I like this product but product cover cheep plastic
3111,"We can use this product for exercise, studying, online classes, listening music, sound quality is amazing 😊."
3112,Product is not durable. Can use for few months
3113,good product
3114,Pls don't buy this headphone voice quality is very bad
3115,Sound quality good but not satisfiedNoise canncellation it's not bestBass is litte improve
3116,Good for listening songs...but while talking my voice is clear .. every one complaint  my voice is not clear...i hate u boat
3117,NYC product
3118,"                    The media could not be loaded.
                



 Ek no bas itna he kahu ga"
3119,It doesnt get connected to any device. I brought them because boat has quite name. But now nor does it work nor can i return them. It was a gift for someone. U all could have checked the product before packing it for delivery. I am very disappointed in amazon. I could have brought the same product at same prize from offline n would have received fully working air pods
3120,Sound quality is superb.Bass is also great.Noise cancellation is a flop.doesnt work at all
3121,Great product !! Awesome Sound Quality . Must buy product for budget under 1500 .
3122,Good product
3123,"These are worst ever earphones i ever experienced.You keep on shouting over microphone but other side caller will not be able to hear your voice properly.Battery backup is good though but it does not make any sense if you cannot use it for your needs.After purchasing it is still of no use to me as i cannot attend my meetings/classes with this, speak over call during travel or even at home. I have to order another one, got frustrated with this."
3124,Improve bass quality
3125,Sryy this is the best one am not give back
3126,Sort of satisfied with the product...best value for money....i would suggest you to go for the product
3127,Positives: 1) its cheap totally value for money2) sound quality is acceptable3) good battery backupNegetives: 1) Microphone is  not that good.Our voice is not clearly heard by the caller at the other end.2) its a bit bulky
3128,The airdopes are nicely built and easy to use. They fit in perfectly over the ear and was also steady enough to not fall off during a jog. It comes with a case for the airdopes which is also used as a charger case with the battery display. I only have an issue with the battery level display which shows up in the box. Sometimes the airdopes signals a low battery while being used on ear but shows around 35-37% battery when put back in the box.
3129,the noise cancellation is bad. calls are not clear. worst quality product
3130,I buy this product for myself.Love it.😊
3131,Overall it is OK
3132,very bad product😡😡😡😡😡
3133,"I've been using boat products for a while, which is why I had complete faith in the quality of these earbuds. However the sound quality is not good at all while the bass is non existent. No noise cancelation. Absolute waste of money."
3134,Best sound quality
3135,"It's Good, but at full sound it's not very good, but overall it's a good product. Hardware Quality is excellent. Go for it."
3136,"                    The media could not be loaded.
                



 Working not properly please exchange this product"
3137,"Boat has mastered the art of selling defective/substandard products through various sales on different online platforms. While it does seem like a great option to buy these at discounted prices, the product doesn't always turn out to be good. Can say from personal experience of having used 3 boat products. Boat Rockerz 335,385, ear dopes 121., All three didn't last more than 6 months. While boat does provide a replacement if the product has failed in less than 1 year, it is useless because they will replace it with an equally substandard product which will fail again in 6 months and your warranty has expired by then. Better spend a little more and buy a quality product than spend on a substandard one. Highly disappointed."
3138,Bad
3139,These are the best headphones for the price I bought it for 1000 rupees and they are the most genuine Bluetooth headphones the sound quality is amazing and the battery life is way too amazing I rarely need to charge it in weeks you cannot go wrong with them
3140,Na
3141,Sound quality is good
3142,"Product has good design , fit properly in ear.Box is also good with battery monitor.For music its very good.But while talking over phone there is lots of noise."
3143,"Easy to pair and use, the sound quality is pretty cool , noise cancellation is not so great.Bass quality is good. But if u want to play BGIM or and other game it has a sound lag so it could create problem. If u see the product as whole and the pricing it could be little lesser."
3144,Ye product bahut bekar h ..isko kharid kr aap pachtaaoge mai bhi pachta raha hu  bluetooth canection bahut kharab h 20 din ache se chala fir chargeing problem bhi  hone lagi or ab ye return bhi nhi ho skta
3145,Nice product 👍
3146,Disclaimer-I got this product on september 3rd and Im writing this review on november 11th becoz ...there were so many reviews stating that this product stops functionind  after a week or two....It's my first earpod  and I really like it becoz of the following points...1.It's budget friendly.[note -I got it on a sale for 899]2.Sound quality is so good3.bluetooth connectivity is good too4.battery life is gud in left earpod and in right earpod it excellent. if u charge the case once it lasts for more than 10 dayss5. u can change the earbuds too...there r 2 extra pairs
3147,Good sound
3148,Nice
3149,Worth the money. Its good quality and battery performance is also amazing
3150,Sound quality is good battery backup is also good
3151,"                    The media could not be loaded.
                



 Battery Is Great, Light Weight , connects Easily . Sound is Decent. Bass Needs to be Worked Upon"
3152,Tu i
3153,battery backup bahut badhiya hai sound quality bhi bahut acchi hai sahi hai product thanks Amazon
3154,Very poor..after one month use u will feel the effect
3155,"The build quality is so pathetic, that it fell from the ear and dropped on the floor with the height of 3-4 feet and this is what happened. It broked in pieces, I have used Boat product in past but this never happened, but the quality of this product is so cheap."
3156,Nice and good
3157,Sound quality is good but Bess is very low. Notice collection not good. Facing some problem during conversation.
3158,Dummy product waste of money don't buy this product please am facing the issue
3159,BEST
3160,That's nice but I want to warranty my product because the right side one is not working now...
3161,Incoming Voice is not clear.. Outgoing voice is also not clear. Sometimes it is not getting connect...
3162,Good
3163,Very good
3164,"Takes alot of time to connect. Sometimes one of the side fails to connect or disconnects. I liked the sound quality, bass is amazing."
3165,When we use the product for years should be pain
3166,Iska sound bhi band chalu hota hai pahle dono dabe me rakhne par light chalu nahi hoti thi par ab dono rakhne par red light chalu hota hai mujhe ye replec karke dedo dhanyawaad
3167,"You guys please take my review seriously.....When I ordered it first time, everything was working normal. But suddenly within 3 days, the display of charging case hanged to 80%. Neither it was moving further 80% in charging, nor it was decreasing when I put my earbuds in the charging. Then I decided to replace. When I got the new one in the replacement, the battery of earbuds was 70%. When I put it in the charging case, the battery of case was 100% even the battery of earbuds was 70%, it was not automatically charging. Then When I put it in the charging when it needs only 30% of the charge, my battery of charging case decreased from 100 to 25% directly even when it's feature was to charge the earbuds 3 times.I request you guys not to buy this product...I only hope you all to trust me..."
3168,A decent product for a reasonable price
3169,The sound quality was amazing.
3170,"Right ear bud is not functioning and charging point is empty, there is no charging point Device in this case very rare to see like this from Amazon. Don't loose your valuable customers"
3171,
3172,Good but not awsome
3173,Problem in left earbud..No sound comes from it.
3174,"I think the bass and the sound quality should be improved and when after connecting to any laptop it's taking more then 10 minutes to connect,while this happening sound is just like cracking n cracking so i'm satisfied with the built quality but the sound quality and the connecting problem should be rectified."
3175,Nice voice
3176,"Can use all day without charging has a good battery backup, easy to use and looks good"
3177,After using long time makes us feel uncomfortable
3178,Good product working fine expected sound quality. some time Minor issue observed in mic input.
3179,I am a user of sony xbt950 bt headphone switching to this definitly a hesitation for me.. I thought it would be like regular ones but when I connected and played yes i can definitely say you can go. With it... at 999 definitely a good deal good song good base but miss and lows could be little more better but my verdict.. A difinitly big yess to boat.. Atmanirbhar #useindian if 999 giving this good sound so what the amazing stuff they are giving in higher ranges..Dabba could be better jisme isko rkhte hai 😂😂..
3180,Good
3181,Only 1 ear bud is working i have exchanged 2 time
3182,Charge down  25%-30% in 2 hours.. you hear only shriek treble voice of music… fitting ear not smooth as other boat models. Every end of second day is charging . Performance of model far below expectations .. not worth buy
3183,"I got the new Boat Airdops Yesterday (28/06/21) it was good but when I took it the box in hand it was like a cheap material used in case of airdopes. When I listen the music the bass was quality poor and not matched at the expectation as I expected. Yes, this is value for money but if you spending this much money just add more money and get a Good ones. In a 1 day the airdpoes getting heated."
3184,Very beautiful
3185,Sound quality is good but while talking on a call mic is not so handy. As the other person will not able to hear anything. And it's a very bad option for gaming as game sound lags a lot
3186,The left Earpiece literally stopped working just after 3 days got it returned.
3187,Its nice product acoording to proce its worth
3188,Mic is not good while speaking
3189,Cfb
3190,"At this price airdopes are a good deal to catch but the worst thing is the connectivity they connect quickly but while playing songs while riding or doing any activity if you keep the phone in pocket or far than 2-3 meters the connection starts to distort soo all over good earphones but I'll give 1 star for the connectivity bass is good sound is good battery life is decent the case is bit loose and looks okish they stay in ears even while running, playing badminton, cricket don't buy these if you are thinking to use it while riding you will get frustrated"
3191,Long battery life
3192,"                    The media could not be loaded.
                



 suparproduct"
3193,Please don't buy and don't waste money
3194,"Don't listen others words, everything is superb, but when you are in outside during call other person will struggle to hear your voice, this is one and only problem. Bass quality 100% noice cancellation 80% connectivity 100% best ever I have purchased"
3195,Excellent product is so good
3196,Calling experience is not good
3197,"Bought it for 999 and it is worth spending that much amount. Sound quality is good. I mainly use this for calls, though not a great product but at this price range, it's totally doing its job. Light and comfortable to wear."
3198,Good for Sonds & Music bt it's not so good for calling
3199,this is first time i am using bluetooth earbuds and this gives me good experience and specially the battery..
3200,"Sound is good 👍, bass is also good everything was just superb"
3201,Not comfortable in useing at long time once
3202,Good Product
3203,This is best quality i ever seen in a while i m not disappointed by this product worth the price.
3204,Best product
3205,Absolutely loved this product. Worth every penny..❤️❤️
3206,This product is not good if traveling noise cancelling is not working whenever I  want to speak on phone call I have to disconnect every time to attend call.
3207,
3208,Best
3209,One ear piece stopped working after 1 month but boat customer care was very responsive on claiming the warrenty
3210,"It's a good eardopes in this price, nice for purchase"
3211,"There's a scratch on the charging display but i have chosen not to replace it. The sound quality is impressive, no complains there. Noise cancellation,not very appealing would've been better. But to conclude, it's a good product based on its pricing and i like it."
3212,It's good if your listening music but can't talk using this people can't hear you. 😔
3213,Go for it.. No comments...
3214,It is super
3215,Everything is well...
3216,I bought 4 month before  now this is not working properly and its not connected to the charger product name is Boat air butts very poor quality I didn't think boat brand making this kind of product...
3217,but my Airdopes within 2 months that was damaged and doesn't working properly..
3218,Nice quality
3219,"i thought its gonna be a good experience with BOAT but i was wrong , after just a couple of weeks later i bought them one of the airpod stopped charging nothing is damaged , didnt even used roughly. and if i comes to the sound . its not the worst but at this price i think boat can do better as its an indian manufacture  .. bass2/5sound- 3/5noise cancellation - 1/5"
3220,I like this product tooooo
3221,Good
3222,how can i replace it beacuse one of the airdopes stopped working please do let me know
3223,I have already some more company of earbuds and I have really more trust father than other companybut boat company disagree me
3224,Good quality and worth of money
3225,Very nice
3226,I have been using it for 3 months and all going good but suddenly the connectivity is disturbing ..... sent to CC (care) .....
3227,This product is a very bad product and a defected one.... The ear dopes doesn't charge at all... I have to connect the pods with the charging capsule to charge it otherwise the capsule does not charge the pods.... Waste of money.... Issue persistent after 2 weeks of purchase
3228,Suitable with budget and noise is ssoo 👍
3229,Bakwaas
3230,"                    The media could not be loaded.
                "
3231,This is best in this price wireless headphones.But if you are on bike then it becomes useless. After wearing helmet you cant answer the calls without stopping the bike and access the mobile.
3232,I like the feature were it’s automatically switching between mono and stereo.*Case door (top cover) is little clumsy.*Sometimes it’s hard to take airdopes out of the case.*Sometimes if airdopes press against ear it makes weird noise (meshes sound I think)
3233,Value for money product battery thoda or jayadaa chalana chahiye
3234,Its only been a week and it broke. Not recommened
3235,Driving calls parpass songs bass is so good I like it but calls adhar parsan not clarety
3236,
3237,The specifications are good. Sound quality is ear soothing. Not too loud. Very much handy for regular use. The looks and colour are cherry on the top. Overall nice.
3238,Input volume has to be kept at full volume
3239,Buds looks good but getting ear pain after 30 min
3240,Very poor noise cancelation
3241,I will suggest you to that don't buy this because of these factors =Low batteryAlways have fear that they will fallPain in ear etc.Instead but boat rockerz 550 that are best I also bought that
3242,Change button into touch sensor
3243,
3244,*Pros : Great battery life.*Cons : (1) Audio quality gets deteriorated due to the  lack of Bass.  (2) The Boat company should cut down on its gender biasing and especially colour biasing.The customers have to pay an additional sum of Rs. 353/- if they opt for the pink coloured ones instead of the regular black for this device. This is called the Pink Tax from which this company is benefitting unethically.I recommend not to buy the product.
3245,After 3 month my left side Air bud is not working so I is very bad situation for me where I do complaint I am confused
3246,Good product and very useful
3247,Such a Bad Experience.Hardly I Use this Airdrops 5 to 6 Days There is Continue Issue In this Product After Replacing From Service Center Same Issue in this Product Also Service Center Is 15 km From My Home Is you Providing My Fuel Amount For Daily Visit Service Center
3248,"Good product in this price range.. Only problem I faced during making phone calls, my voice is not audible by other person."
3249,The product was good in the audio quality till one of the piece got broken. It fell only once and one piece of the airdopes was broken. Maybe boat should build a little stronger case. The battery was so good only the case is the drawback
3250,Not Good
3251,"                    The media could not be loaded.
                "
3252,"I was trapped due to discounts available on Amazon on Festive sale. This product is one of worst from boAt company, the sound quality is poor and it's difficult for the other person to listen to what you are saying. Bluetooth connectivity is good and quick. I wanted to return the product, but as it's purchased in festive sale, I can only replace it; even though there's problem with sound and volume, I just cannot return it. So, would not purchase anything due to festive discounts any more, at least I can return the product, if I don't like it or if it does not suit my requirements."
3253,"I have ordered new but I received used one. The day I have received delivery next day I have to travel abroad on business trip. Did not check the parcel, when reached to destination opened the parcel found it is used one. Even I can't change it. With brand this kind of issues not at all acceptable."
3254,Pretty good from the quality point of view. But if it doesn't last how can we give a good rating. The product need to last. It lasted less than a month. I am trying for a warranty claim. Let me see if it will last
3255,The product is very good and filling as per my requirement as of now.
3256,The quality of the hinge of the charging case and the inclusion of USB type c port would a great thing
3257,Perfect ones.
3258,Writing review after more than a month of use. Sound quality is very poor for listner while talking on phone... It doesn't fit well on your ears and falls very often.. not a good choice and regret my purchase.
3259,Using this only to hear songs & watch movies. Receiver end can't hear your voice while phone calls if u use this Airdropes. Worst inbuilt mic & noise cancellation tech.
3260,Product is just right. Good sound quality. Wish the Mike reception has been better
3261,One side not working
3262,It has a decent sound quality but the product has no quality
3263,"I ordered a midnight blue shade and it looks exactly the same as in the picture. Perfect vibe for me. Features are all up to the mark. Snug fit in ears (can dance away!). Completely worth the money (1100). Bought just a few days ago so gotta use it for a while before giving review, that's why I'll be sticking to a 3"
3264,Sound quality is so bad volume feel like so i am listing song in 50% even in 100% volume very
3265,Overall good but not recommended for calling perticularly when you are outside
3266,Both ear plugs can be used separately as needed.In this price range nice product to purchase
3267,I was a big fan of boat company until my earpodes got damaged.I sent them for warranty claim
3268,One of the ear bud not working properly
3269,"                    The media could not be loaded.
                



 Received with 0% battery and I tried to charge it reached up to 2% in half an hour, and when I tried to connect with my phone only left one is working right one gives a whistling sound. On 2nd of August I booked for a return and replacement as I was on travel told to come and collect on 5th but they came on 3rd and told we can't wait till 5th but I told I am not at home now till today 8th he didn't come to collect hope I lost my money 🤑"
3270,Average product I don't like
3271,Super product
3272,Good product
3273,DislikeLeft side not working within 3 monthsNot responded customer care team membersEven warranty no response.I expect the same product need to be replaced immediate
3274,Good and amazing product money worth buying it. Value for money
3275,"I bought airdopes i forgot to take & i was out of India for 8 month, when I came back to india i start to using the airdopes afte 3 days  not working at all .....worst service facing from BOAT will not recommended to buy i will give -100 rating..."
3276,Good One
3277,The ear buds are easy to use.. they quickly turn when out of their casing and can be put back to switch off. The quality of sound is good. Have used only for 2 weeks now.. Will update again in some time.
3278,"                    The media could not be loaded.
                



 पैसा बर्बाद.. बिल्कुल भी चार्ज नहीं हो रहा है.. 2 ps मंगाए थे. दोनों ख़राब.. चार्जिंग में लगे लगे कनेक्ट हो रहा है.. सिंगल यूज नहीं कर सकते.. पैसा बर्बाद 🙏🏻🙏🏻"
3279,It doesn't fit in ears. Very loose fitting
3280,I like
3281,i like this.....sound is good.....battery backup is also good......
3282,I like this product quality badiya
3283,the product Doesnot even Does not even Work For a yearLeft earbud Stopped working in just in 109 Days
3284,"After 6 month right side mic not working,  so please confirm,  refund or replacement possible or not.As per product 1 year warranty"
3285,"The product is not good quality,  I want exchange the same if it in warranty period. Pleased help team Amazon.Regards  Mukesh"
3286,Worthy
3287,So far so good
3288,very good quality
3289,"Good product as per price range, product quality is very good"
3290,No comments
3291,Sound quality is goodWeight is almost none and u dont feel heavyCan be used for long periodsBatter time average but charging is good in the case so its considered as goodBass is above averageFinish nd quality is goodGrip in the ear is prerfect no way to lose itService from boat is good and amazon delivered the same in expected time.
3292,Not convenient to use. Dont hold back to ears. Sound quality also not good.
3293,Nice
3294,Nice product..happy
3295,My product was unsupported for charging after five months of purchase date. Waste product
3296,Everything is ok. Even a battery life is So good. pairing with a BT Without any trouble. Sound quality is very decent. But only the trouble which I felt is 'it's tiny Size'- anytime it may skip our right or left ear.. that's also just a panic illusion.
3297,Good sound quality...Perfect noise cancellation system..Bass quality also good.I liked it and you also definetly likes it..
3298,Product is very good . But pairing speed is little bit slower then other.
3299,When you increase on full volume the right goes off!My friends have this same boat earphones but same problem to allPlease fix this problem if boAt want a better sale in future
3300,No doubt this is a good ear buds in this price but when I am trying to attend a call via these ear buds second party unable to listen clear and again I have to go back on phone this is the disappointment
3301,Worth buying
3302,"It didnot work well with laptop. Frequently getting disconnected. I cannot use on treadmill, keep on falling."
3303,Awesome  product go for it
3304,
3305,Excellent
3306,Sound quality is drawback
3307,
3308,
3309,"All good, it doesn't stay in my ear lobe bt thats not the products fault.The only prob is the microphone. It sounds like a distant voice in a huge wall."
3310,"When we call someone, there are voice issue and not audible properly at receiver side."
3311,This is the First Worst Product iam purchasing item's
3312,"                    The media could not be loaded.
                



 Good product overall. One of the best for its price range. Do not expect professional level sound or bass, but for the price it's worth it."
3313,Nice productQuality = 4/5Charging =4/5Sound =4/5Boss = 3.5/4Ears paning 2/5
3314,The airdopes are good as per my usage. I don't use it much. Hardly for music while commuting. So according to my usgae i find these airdopes good.I did read all the reviews while buying . I was actually not sure about the product.But every one is going to have different experience. well i got good airdopes.
3315,"First of, sound quality is too bad compare to other brands earpods, and also it is non-returnable. So don't waste your money"
3316,Product stopped working after using it for 2 days. No sound coming. Very subpar product. Boat brand is fraud.
3317,Best purchase ever. I was so nervous how will be the product but i received safe and best products. Ear pods are so good. Base is osm. Sound is also so good. Everything is best..Thank you Amazon
3318,"                    The media could not be loaded.
                



 Super qulity 👌👌👌😔"
3319,
3320,Sound quality is good and battery 🔋 is fast charge and longer time playing
3321,Not recommended for calls..Poor noise cancellation
3322,"too much sucks sound quality , voice quality and anything"
3323,Nice sound
3324,Best quality
3325,"I can't hear the music if I keep the phone in my trousers. The range is poorest, I am surprised how it got so many good reviews"
3326,Gud and amaging quality nice but need to improve fitting on hear it's not fitting properly...
3327,"Sound is good, bass is average, noise cancellation is worst if you're on a call. The callers will get annoyed  and irritated with the minor surround disturbances. Will not recommend."
3328,Battery issue
3329,I recommend to not buy this product because the pod were not adjusting in ears it slips when it was in my ear and I accidentally fall down it 3 or 4 times and my one pod is not giving sound I have 1 year warranty card but when I see amozen option I saw that my exchange or regond option is closed my family were so sad and some angry on me this is the wrost air pod ever and you 1200rupees will get wastes I really recommend to not by this product 😭😭😭😭😭😭😭😭😰😰😤😤😤😤😤👿👿👿👿👿👿👿👿😡😡😡😡😡😠😠😠🤧
3330,
3331,Voice call is not that perfect
3332,Sound quality is decent but within two months of my purchase 1 ear bud charging is not happening.
3333,It is good for people who don’t want to invest much into earbuds
3334,Very good quality must buy in this price range.Bass is bit lower
3335,"Good product, can be used one piece at a time, automatically switching off when kept in box(good option), charge level shows for kit and airpods seperately.Taking out is little difficult (easily slips from hand).could have tag hole provision for box"
3336,"Everything is fine but one side of the of earpod is broken and unable to hear now how do I claim the warranty for the product, when I get expect the replacement since it has warranty of 1 yr and broke within 6 months"
3337,"Connects quickly once you remove from the case. Sound quality is good except for intermitent pauses. The downside is, during the voice calls the otherside person can hardly hear.So I use these buds only for music and videos."
3338,"Quality I every bad sound ,voice is not gd don't go for it"
3339,Battery backup is goodBut noise cancellation is very bad
3340,"Boat was way too good a few years back when they were just in wired headphone space and over the ear bluetooth headphone space but with TWS, they have reduced the sound quality with an increased price. Even their wired earphones under INR.400/- sound much better than this cheap quality tws. The only pros is the battery life and rest everything sucks, from bass to trebble to build quality."
3341,Meditation & kitchen me kam karte samay me use karti hu superb quality he
3342,"Ok for though who prefers listening to songs, who doesn’t care’s about the bass"
3343,Everything is perfectly fine . But one issue . This earbuds is not suitable during calls . For enjoying music and using them while playing games is perfectly awesome at this price point .
3344,Good
3345,It’s got good sound quality and bass.. it’s beautiful and great in design as well..the only thing I disliked was it’s mic quality on calls.. people can’t hear u properly over calls..
3346,"Initially didn't expect it to work but after 6 months of use. It seems it does work as per it is being marketed. However, if both pods are in use Bluetooth distance get restricted in 15-25 meter readings otherwise with single it's 30 meter. Rest with single pods other party will hear background noise with lower a bit after using two pods but still can be observed."
3347,Good product and bought it in sale which makes it more value product
3348,There is problem in the earphone the sound is cracking i want to return the product can you help me
3349,Deep bass was not good
3350,Song sunne me
3351,Nice
3352,"Sound quality is good but build quality is not so good, need to take care from dropping on floor."
3353,"I bought this during Amazon great Indian sale 2020 at price tag of 999rs.If you are intrested in buying truly wireless earbuds of branded company this are best.Bass is low but enough.not recommended for gaming.sound quality is between good and average.Cap of case is feels loose.overall good product in this price tag, I am Happy with it😊"
